Time;Channel A;Channel B;A - B
(s);(V);(V);(V)

-2,36102599;-3,34040400;-0,86870940;-2,51747200
-2,36069199;-3,34040400;-0,82293160;-2,51747200
-2,36035799;-3,34040400;-0,82293160;-2,51747200
-2,36002399;-3,34040400;-0,82293160;-2,51747200
-2,35968999;-3,34040400;-0,82293160;-2,51747200
-2,35935599;-3,34040400;-0,82293160;-2,51747200
-2,35902199;-3,34040400;-0,82293160;-2,51747200
-2,35868799;-3,34040400;-0,82293160;-2,51747200
-2,35835399;-3,34040400;-0,82293160;-2,51747200
-2,35801999;-3,34040400;-0,82293160;-2,51747200
-2,35768599;-3,34040400;-0,82293160;-2,51747200
-2,35735199;-3,34040400;-0,82293160;-2,51747200
-2,35701799;-3,34040400;-0,82293160;-2,51747200
-2,35668399;-3,34040400;-0,82293160;-2,51747200
-2,35634999;-3,34040400;-0,82293160;-2,51747200
-2,35601599;-3,34040400;-0,82293160;-2,51747200
-2,35568199;-3,34040400;-0,82293160;-2,47230500
-2,35534799;-3,34040400;-0,82293160;-2,51747200
-2,35501399;-3,29523600;-0,82293160;-2,51747200
-2,35467999;-3,34040400;-0,82293160;-2,56325000
